Player,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
GK Pandey,1999-1999,2,4,4*,4,0,0,-,-,0,0,0,-
RD Parkar,1972-1973,2,80,35,20,0,-,-,-,-,0,0,-
DD Parsana,1979-1979,2,1,1,0.5,0,1,Jan-32,50,0,0,0,-49.49
Parvez Rasool,2014-2017,2,5,5,5,0,3,Feb-60,30.66,0,0,0,-25.66
RGM Patel,1988-1988,2,0,0,0,0,0,-,-,0,1,0,-
C Ramaswami,1936-1936,2,170,60,56.66,0,-,-,-,-,0,0,-
Randhir Singh,1981-1983,2,-,-,-,-,1,Jan-30,48,0,0,0,-
SS Raul,1998-1998,2,8,8,4,0,1,Jan-13,27,0,0,0,-22.99
P Roy,1982-1982,2,71,60*,35.5,0,-,-,-,-,1,0,-
Sandeep Sharma,2015-2015,2,1,1*,-,0,1,Jan-39,73,0,0,0,-
PP Shaw,2018-2018,2,237,134,118.5,1,-,-,-,-,2,0,-
Shubman Gill,2019-2019,2,16,9,8,0,-,-,-,-,0,0,-
S Somasunder,1996-1996,2,16,9,8,0,-,-,-,-,0,0,-
GR Sunderam,1955-1956,2,3,3*,-,0,3,Feb-46,55.33,0,0,0,-
M Venkataramana,1988-1989,2,0,0*,-,0,3,Feb-36,31.33,0,1,0,-
Amir Elahi,1947-1947,1,17,13,8.5,0,-,-,-,-,0,0,-
AL Apte,1959-1959,1,15,8,7.5,0,-,-,-,-,0,0,-
S Aravind,2015-2015,1,-,-,-,-,1,Jan-44,44,0,0,0,-
SA Banerjee,1948-1949,1,0,0,0,0,5,4/120,36.2,0,3,0,-36.19
SN Banerjee,1949-1949,1,13,8,6.5,0,5,Apr-54,25.4,0,0,0,-18.89
M Baqa Jilani,1936-1936,1,16,12,16,0,0,-,-,0,0,0,-
GK Bose,1974-1974,1,13,13,13,0,1,Jan-39,39,0,0,0,-25.99
RD Chahar,2019-2019,1,-,-,-,-,1,Jan-27,27,0,0,0,-
HT Dani,1952-1952,1,-,-,-,-,1,01-Sep,19,0,1,0,-
P Dharmani,1996-1996,1,8,8,8,0,-,-,-,-,0,0,-
FY Fazal,2016-2016,1,55,55*,-,0,-,-,-,-,0,0,-
HG Gaekwad,1952-1952,1,22,14,11,0,0,-,-,0,0,0,-
MJ Gopalan,1934-1934,1,18,11*,18,0,1,Jan-39,39,0,3,0,-20.99
LP Jai,1933-1933,1,19,19,9.5,0,-,-,-,-,0,0,-
RJD Jamshedji,1933-1933,1,5,4*,-,0,3,3/137,45.66,0,2,0,-
HK Jayantilal,1971-1971,1,5,5,5,0,-,-,-,-,0,0,-
AV Kale,2003-2003,1,10,10,10,0,-,-,-,-,0,0,-
Lall Singh,1932-1932,1,44,29,22,0,-,-,-,-,1,0,-
M Markande,2019-2019,1,-,-,-,-,0,-,-,0,0,0,-
KR Meherhomji,1936-1936,1,0,0*,-,0,-,-,-,-,1,0,-
S Nadeem,2019-2019,1,1,1*,-,0,4,Feb-18,10,0,1,0,-
P Negi,2016-2016,1,-,-,-,-,1,Jan-16,16,0,2,0,-
S Nyalchand,1952-1952,1,7,6*,7,0,3,Mar-97,32.33,0,0,0,-25.33
AM Pai,1969-1969,1,10,9,5,0,2,Feb-29,15.5,0,0,0,-10.49
CT Patankar,1955-1956,1,14,13,14,0,-,-,-,-,3,1,-
Yuvraj of Patiala,1934-1934,1,84,60,42,0,-,-,-,-,2,0,-
SR Patil,1955-1955,1,14,14*,-,0,2,Jan-15,25.5,0,1,0,-
K Rai Singh,1948-1948,1,26,24,13,0,-,-,-,-,0,0,-
V Rajindernath,1952-1952,1,-,-,-,-,-,-,-,-,0,4,-
Rajinder Pal,1964-1964,1,6,3*,6,0,0,-,-,0,0,0,-
L Ramji,1933-1933,1,1,1,0.5,0,0,-,-,0,1,0,-
MR Rege,1949-1949,1,15,15,7.5,0,-,-,-,-,1,0,-
SV Samson,2015-2015,1,19,19,19,0,-,-,-,-,1,0,-
RC Saxena,1967-1967,1,25,16,12.5,0,0,-,-,0,0,0,-
AK Sengupta,1959-1959,1,9,8,4.5,0,-,-,-,-,0,0,-
RC Shukla,1982-1982,1,-,-,-,-,2,Feb-82,76,0,0,0,-
IR Siddiqui,2001-2001,1,29,24,29,0,1,Jan-32,48,0,1,0,-18.99
R Singh,1999-1999,1,0,0,0,0,3,Feb-74,58.66,0,1,0,-58.66
RP Singh,1986-1986,1,-,-,-,-,1,Jan-58,58,0,0,0,-
MM Sood,1960-1960,1,3,3,1.5,0,-,-,-,-,0,0,-
R Sudhakar Rao,1976-1976,1,4,4,4,0,-,-,-,-,1,0,-
VN Swamy,1955-1955,1,-,-,-,-,0,-,-,0,0,0,-
KK Tarapore,1948-1948,1,2,2,2,0,0,-,-,0,0,0,-
