Player,Span,Mat,Runs,HS,Bat Av,100,Wkts,BBI,Bowl Av,5,Ct,St,Ave Diff
FM Engineer,1961-1975,51,2725,121,31.32,2,-,-,-,-,69,17,-
EAS Prasanna,1962-1978,49,735,37,11.48,0,189,Aug-76,30.38,10,18,0,-18.89
DR Doshi,1979-1983,48,138,20,4.45,0,136,6/102,29.6,6,13,0,-25.15
PP Ojha,2008-2013,48,145,18*,12.08,0,144,Jun-47,29.19,7,18,0,-17.11
PK Amre,1991-1994,47,938,103,26.8,1,0,-,-,0,21,0,-
CPS Chauhan,1969-1981,47,2237,97,30.64,0,2,01-Apr,53,0,41,0,-22.35
AR Patel,2014-2018,47,248,38,14.58,0,54,Mar-17,31,0,20,0,-16.41
M Kartik,2000-2007,46,214,43,11.88,0,61,Jun-27,40.31,1,12,0,-28.42
MAK Pataudi,1961-1975,46,2793,203*,34.91,6,1,01-Oct,88,0,27,0,-53.08
Arshad Ayub,1987-1990,45,373,57,14.92,0,72,May-21,36.86,4,7,0,-21.94
DS Mohanty,1997-2001,45,28,18*,5.6,0,61,Apr-56,30.44,0,10,0,-24.84
HK Badani,2000-2004,44,961,100,30.03,1,3,01-Jul,55.33,0,19,0,-25.3
MH Mankad,1946-1959,44,2109,231,31.47,5,162,Aug-52,32.32,8,33,0,-0.84
P Roy,1951-1960,43,2442,173,32.56,5,1,01-Jun,66,0,16,0,-33.43
WP Saha,2010-2019,43,1234,117,29.38,3,-,-,-,-,103,12,-
L Balaji,2002-2012,42,171,31,9,0,68,May-76,36.01,1,11,0,-27.01
S Ramesh,1999-2001,42,1998,143,34.44,2,1,Jan-23,81,0,21,0,-46.55
NS Yadav,1979-1987,42,404,43,14.42,0,110,May-76,34.61,3,11,0,-20.18
RG Nadkarni,1955-1968,41,1414,122*,25.7,1,88,Jun-43,29.07,4,22,0,-3.37
RR Pant,2017-2019,41,1308,159*,30.41,2,-,-,-,-,63,2,-
CS Pandit,1986-1992,40,461,39,21.95,0,-,-,-,-,29,16,-
ML Jaisimha,1959-1971,39,2056,129,30.68,3,9,Feb-54,92.11,0,17,0,-61.42
R Vinay Kumar,2010-2013,39,98,27*,8.9,0,47,Apr-30,35.65,0,7,0,-26.75
AL Wadekar,1966-1974,39,2186,143,31.22,1,0,-,-,0,47,0,-
N Chopra,1998-2000,38,308,61,14.66,0,46,May-21,29.54,1,16,0,-14.87
WV Raman,1988-1997,38,1065,114,24.2,1,4,01-Jul,74.75,0,8,0,-50.54
SP Gupte,1951-1961,36,183,21,6.31,0,149,9/102,29.55,12,14,0,-23.23
PP Chawla,2006-2012,35,44,13*,4,0,43,Apr-23,35.76,0,12,0,-31.76
ND Hirwani,1988-1996,35,62,17,4.42,0,89,Aug-61,30.4,4,7,0,-25.97
S Abid Ali,1967-1975,34,1111,81,20.96,0,54,Jun-55,40.12,1,32,0,-19.16
R Lamba,1986-1989,34,865,102,25.44,1,1,01-Sep,20,0,14,0,5.44
ED Solkar,1969-1977,34,1095,102,22.81,1,22,Mar-28,56.31,0,55,0,-33.5
W Jaffer,2000-2008,33,1954,212,33.11,5,2,Feb-18,9,0,27,0,24.11
HH Kanitkar,1998-2000,33,413,57,17.95,0,16,Feb-22,46.37,0,13,0,-28.41
